Time,T_1_1,T_1_2,T_1_3,T_1_4,T_1_5,T_2_1,T_2_2,T_2_3,T_2_4,T_2_5,T_3_1,T_3_2,T_3_3,T_3_4,T_3_5,T_4_1,T_4_2,T_4_3,T_4_4,T_4_5,T_5_1,T_5_2,T_5_3,T_5_4,T_5_5,T_top,T_bot,T_N,T_S,T_E,T_W
6/20/2024 2:30:41 PM,21.674625,21.474497,21.303550,20.905201,20.994905,22.209874,21.629264,21.430730,21.422437,21.302859,22.084055,21.288342,21.307237,21.286498,21.116175,-56586.401524,22.084000,22.094813,21.853207,21.695752,21.611939,21.517976,21.392663,21.382296,21.233440,21.004073,23.641140,22.814062,22.920166,23.016605,24.111405,23.051731
6/20/2024 2:31:11 PM,22.302088,21.531849,21.283963,21.412991,21.280046,22.295880,21.685676,21.660809,21.403085,21.294794,22.107749,21.307237,21.245248,21.190165,21.088050,-56582.470123,22.034813,21.987646,21.726187,21.638925,21.585040,21.537828,21.208133,21.508808,21.414133,21.048617,23.621924,22.783097,22.856827,23.004481,24.143746,23.025603
6/20/2024 2:31:41 PM,21.908396,21.294924,21.412199,21.414734,21.164941,22.091316,21.750039,21.529676,21.423488,21.354141,22.141923,21.463570,21.161254,21.279254,21.133823,-56579.942584,21.921003,21.891546,21.658125,21.505672,21.420442,21.449929,21.235187,21.306625,21.176415,21.026803,23.591285,22.738391,22.817870,22.969210,24.064349,23.021559
6/20/2024 2:32:11 PM,21.546185,21.088798,21.155648,21.222950,21.195754,22.032808,21.568986,21.440231,21.383098,21.250144,22.125748,21.597542,21.263971,21.282407,21.130753,-56577.666630,21.869788,21.931464,21.561975,21.471227,21.391059,21.371707,21.299357,21.423082,21.127424,20.905385,23.548737,22.706334,22.854494,22.935331,24.074305,22.989980
6/20/2024 2:32:41 PM,21.445348,21.018759,21.010228,21.169066,21.113052,22.033777,21.408950,21.308955,21.286603,21.220002,21.985460,21.633283,21.410332,21.414479,21.453410,-56573.746195,21.802201,21.882068,21.565051,21.496647,21.409342,21.250586,21.316491,21.372711,21.148253,21.115059,23.540563,22.686198,22.860318,22.922095,24.069118,22.991440
6/20/2024 2:33:11 PM,21.589174,21.431170,21.145890,21.285095,21.260437,21.851400,21.423568,21.401912,21.356064,21.287860,22.199043,21.477932,21.350074,21.348691,21.189914,-56570.967895,21.872802,21.949896,21.627859,21.524687,21.437618,21.692330,21.353067,21.434163,21.196136,21.085722,23.534082,22.656959,22.841426,22.940406,24.111895,22.991151
6/20/2024 2:33:41 PM,22.082692,21.550752,21.573091,21.354950,21.294350,22.136059,21.536012,21.576316,21.508834,21.555358,21.697896,21.406327,21.376147,21.440652,21.244574,-56568.421118,21.949502,21.955485,21.633221,21.584402,21.517843,21.856067,21.451275,21.329171,21.294837,21.085788,23.574510,22.645536,22.844248,22.941850,24.164413,22.987543
6/20/2024 2:34:11 PM,22.200120,21.774216,21.581731,21.593016,21.675451,22.388904,22.034728,21.871120,21.717354,21.631933,22.303144,21.774677,21.628939,21.542350,21.553405,-56567.463938,22.144541,22.020546,21.705925,21.717206,21.661028,22.328059,21.772687,21.669317,21.660567,21.398005,23.598533,22.647779,22.885762,22.942943,24.311604,23.014811
6/20/2024 2:34:41 PM,22.570001,21.842093,21.763139,21.711801,21.794676,22.384048,22.222171,22.024118,21.863267,21.771427,22.438531,22.039302,21.833346,21.768434,21.629372,-56565.492940,22.342713,22.116417,21.753289,21.779762,21.760426,22.540403,22.028077,21.721059,21.727045,21.622282,23.615211,22.630025,22.897413,22.932548,24.390072,23.007632
6/20/2024 2:35:11 PM,22.764964,22.114195,21.987890,21.827948,21.893543,22.881185,22.448542,22.133517,21.938188,22.032526,22.639524,22.236326,21.994333,21.841758,21.842219,-56567.583312,22.570410,22.267884,22.004740,21.914308,21.861606,22.634752,22.264205,21.889684,21.721881,21.788641,23.618093,22.633833,22.912242,22.929005,24.477186,22.980670
